,date,headlines,ticker,company
13,2022-10-31,"GHCL reports Q2 earnings.
              
⭕️Net profit at Rs 300.5 cr Vs Rs 93.2 cr (YoY)
  
⭕️Revenue up 72% at Rs 1,381 cr Vs Rs 803 cr (YoY)   
 
⭕️EBITDA at Rs 433.8 cr Vs Rs 169 cr (YoY)     

⭕️Margin at 31.4% Vs 21% (YoY)",GHCL,GHCL Limited
30,2022-10-31,"HFCL gets approval for application under production linked incentive (#PLI) scheme, to avail incentives up to Rs 652.79 cr",HFCL,HFCL Limited
49,2022-11-01,"UPL gross debt as of September 30 at ₹32,550 cr vs ₹30,123 cr as of June 30",UPL,UPL Limited
72,2022-11-01,"VSSL reports Q2 earnings.

⭕️Net profit up 15.3% at Rs 28 cr Vs Rs 24.3 cr (YoY)

⭕️Revenue up 32% at Rs 443.2 cr Vs Rs 335.7 cr (YoY)",VSSL,Vardhman Special Steels Limited
155,2022-11-04,"HIL reports #Q2 results. 

▶️Net loss at ₹6.8 cr vs profit of ₹26.1 cr (YoY)

▶️Revenue down 0.3% at ₹763.9 cr vs ₹765.9 cr (YoY)

▶️EBITDA down 80.8% at ₹12.1 cr vs ₹62.9 cr (YoY)

▶️EBITDA margin at 1.58% vs 8.21% (YoY)",HIL,HIL Limited
181,2022-11-04,"IDFC First Bank gets board approval to raise Rs 4,000 cr",IDFC,IDFC Limited
224,2022-11-07,"KEC Intl Q2 | #2QWithCNBCTV18 

Net profit down 31.2% at Rs 55.2 cr Vs Rs 80.3 cr (YoY)

Revenue up 13.3% at Rs 4064 cr Vs Rs 3587.5 cr (YoY)

EBITDA down 29.7% at Rs 178 cr Vs Rs 253.1 cr (YoY)

EBITDA margin at 4.4% Vs 7.1% (YoY",KEC,KEC International Limited
225,2022-11-07,"KEC Intl says: YTD #Order intake of Rs10,465 cr – growth of 25%

Highest ever #OrderBook + L1 of over Rs 34,000 cr",KEC,KEC International Limited
227,2022-11-07,"OCTOBER GENERAL INSURANCE DATA 
 
NEW INDIA ASSURANCE 
Oct Premium Up 3% (YoY)
FY23 Year-to-Month Premium Up 3% (YoY)
 
STAR HEALTH
Oct Premium Up 11.5% (YoY)
FY23 Year-to-Month Premium Up 11.5% (YoY)",STAR,Strides Pharma Science Limited
233,2022-11-07,"BPCL Q2 | #2QWithCNBCTV18 

⛽️ Net loss at ₹304.2 cr Vs loss of ₹6,263 cr (QoQ)

⛽️ Revenue down 5% at ₹1.15 lk cr Vs ₹1.21 lk cr (QoQ)

⛽️ EBITDA at ₹1,433 cr Vs EBITDA loss of ₹5,865 cr (QoQ)

⛽️ Margin at 1.2%",BPCL,Bharat Petroleum Corporation Limited
234,2022-11-07,BPCL says its gross refining margins (#GRM) for the period H1 FY23 was $22.30/bbl Vs $5.23/bbl in the corresponding comparative period,BPCL,Bharat Petroleum Corporation Limited
247,2022-11-08,"MRF Q2 | #2QWithCNBCTV18 

Net profit down 24.1% at Rs 145.4 cr Vs `191.6 cr (YoY)

Revenue up 18.7% at Rs 5826.3 cr Vs Rs 4907.8 cr (YoY)

Board also approves enhancement in the issue of Non-Convertible Debentures through Private Placement from Rs.100 cr to Rs.150 cr",MRF,MRF Limited
254,2022-11-08,"Weak #October For Pvt Life Insurance; LIC(+18%), SBI Life (+16%) Defy Weakness 

HDFC Life, I-Pru Life Grow In Low Single-Digit, Max Life Sees Contraction

Only #LIC & #SBI Life See Growth In APE

#HDFC Life (🔻17%), I-Pru Life (🔻26%) & Max Life See Drop In APE",HDFC,Housing Development Finance Corporation Limited
309,2022-11-10,BEL signs #MoU with Goa Shipyard for autonomous #navigation,BEL,Bharat Electronics Limited
311,2022-11-10,"BLS International Services reports #Q2 earnings. 

▶️Net profit up 83.3% at ₹50.4 cr vs ₹27.4 cr (YoY)
    
▶️Revenue up 87.4% at ₹356.8 cr vs ₹190.4 cr (YoY) 
   
▶️EBITDA at ₹56.7 cr vs ₹27.5 cr (YoY)
     
▶️Margin at 15.9% vs 14.4% (YoY)",BLS,BLS International Services Limited
314,2022-11-10,PTC Industries & Bharat Dynamics sign #MoU for mutual co-operation & business development,PTC,PTC India Limited
319,2022-11-10,"LT Foods | Board approves the preferential issuance of 2.7 crore shares at 142.23/share worth up to ₹390 crore to SALIC International Investment

▶️ Alert: CNBC-TV18 Newsbreak confirmed LT Foods approves shares issuance to an investor",LT,Larsen & Toubro Limited
326,2022-11-10,"ITC in focus

Govt has no plan to sell SUTTI stake in ITC as of now",ITC,ITC Limited
328,2022-11-10,"No plan to #sell #SUUTI stake in #ITC as of now, #govt sources tell 

⭕️Alert: Govt holds 7.87% in ITC 

⭕️Alert: SUUTI last sold 2% stake in ITC in Feb 2017",ITC,ITC Limited
333,2022-11-10,"BASF reports Q2 earnings.

⭕️Net profit down 17.6% at Rs 113.1 cr Vs Rs 137.3 cr (YoY)

⭕️Revenue up 5.2% at Rs 3,582 cr Vs Rs 3,406 cr (YoY)

⭕️EBITDA down 18.1% at Rs 187.7 cr Vs Rs 229.2 cr (YoY)

⭕️Margin at 5.2% Vs 6.7% (YoY)",BASF,BASF India Limited
359,2022-11-10,"CONCOR reports #Q2 earnings. 

▶️Net profit up 14.7% at ₹302.8 cr vs ₹264 cr (YoY)

▶️Revenue up 8% at ₹1,970.7 cr vs 1,823.9 cr (YoY)

▶️EBITDA up 16.9% at ₹498.7 cr vs ₹426.5 cr (YoY)

▶️EBITDA margin 25.3% vs 23.4% (YoY)",CONCOR,Container Corporation of India Limited
371,2022-11-11,"FACT reports Q2 earnings.

⭕️Net profit at Rs 144.6 cr Vs Rs 36.4 cr (YoY)

⭕️Revenue at Rs 1,935 cr Vs Rs 781.6 cr (YoY)

⭕️EBITDA at Rs 236.5 cr Vs Rs 104.5 cr (YoY)

⭕️Margin at 12.2% Vs 13.4% (YoY)",FACT,Fertilizers and Chemicals Travancore Limited
383,2022-11-11,"KRBL reports Q2 earnings.
 
⭕️Net profit up 56.5% at Rs 213.1 cr Vs Rs 136.2 cr (YoY)

⭕️Revenue up 25.2% at Rs 1,319.2 cr Vs Rs 1,053.7 cr (YoY)

⭕️EBITDA up 43.6% at Rs 284.7 cr Vs Rs 198.2 cr (YoY)

⭕️Margin at 21.6% Vs 18.8% (YoY)",KRBL,KRBL Limited
411,2022-11-11,"NDTV announces open offer for stake sale to VCPL, #Adani Media Networks and Adani Enterprises",NDTV,New Delhi Television Limited
424,2022-11-12,Adani Group to launch open offer for NDTV on 22 November,NDTV,New Delhi Television Limited
430,2022-11-12,"RCF Q2

▶️Net Profit at Rs 261.9 Cr vs Rs 117.9 Cr (YoY)
▶️Revenue at Rs 5,575.9.6 Cr vs Rs 2,612.4 Cr (YoY)
▶️EBITDA at Rs 404.9 Cr vs Rs 186.8 Cr (YoY)
▶️Margin at 7.26% vs 7.15% (YoY)",RCF,Rashtriya Chemicals and Fertilizers Limited
433,2022-11-12,Domestic airline industry expected to incur a net loss of Rs 150-170 billion: ICRA,ICRA,ICRA Limited
446,2022-11-14,"CONCOR says DIPAM organising divestment roadshow with potential investors today & tomorrow. Roadshow will have representatives from DIPAM, Rail Min & Co",CONCOR,Container Corporation of India Limited
452,2022-11-14,"ITDC reports #Q2 earnings. 

▶️Net profit at ₹10 cr vs ₹1.5 cr (YoY)
   
▶️Revenue up 32.5%  at ₹92.2 cr vs ₹69.6 cr (YoY) 
 
▶️EBITDA at ₹11.4 cr vs ₹0.6 cr (YoY) 
  
▶️Margin at 12.3% vs 0.9% (YoY)",ITDC,India Tourism Development Corporation Limited
469,2022-11-14,"Bharat Forge, Sun TV, BHEL, Astral, Zee Ent see negative reaction to earnings

ABB, IndiaMART, M&M Fin, City Union Bank, Max Fin top Midcap losers",M&M,Mahindra & Mahindra Limited
471,2022-11-14,SEBI approves Adani Group's open offer for 26% shares of NDTV,NDTV,New Delhi Television Limited
472,2022-11-14,"NBCC India reports Q2 earnings.

⭕️Net profit up 34.1% at Rs 95.5 cr Vs Rs 71.2 cr (YoY)

⭕️Revenue up 8% at Rs 2,029.7 cr Vs Rs 1,879.7 cr (YoY)

⭕️EBITDA up 74.1% at Rs 88.4 cr Vs Rs 50.8 cr (YoY)

⭕️Margin at 4.4% Vs 2.7% (YoY)",NBCC,NBCC (India) Limited
478,2022-11-14,"CESC reports Q2 earnings.

⭕️Net profit down 9% at Rs 305 cr Vs Rs 335 cr (YoY)

⭕️Revenue up 12% at Rs 3,913 cr Vs Rs 3,494 cr (YoY)

⭕️EBIDTA down 46.4% at Rs 490 cr Vs Rs 914 cr (YoY)                                      

⭕️Margin at 12.5% Vs 26.2% (YoY)",CESC,CESC Limited
482,2022-11-14,"NBCC India reports Q2 earnings.

⭕️Net profit up 34.1% at Rs 95.5 cr Vs Rs 71.2 cr (YoY)

⭕️Revenue up 8% at Rs 2,029.7 cr Vs Rs 1,879.7 cr (YoY)

⭕️EBITDA up 74.1% at Rs 88.4 cr Vs Rs 50.8 cr (YoY)

⭕️Margin at 4.4% Vs 2.7% (YoY)",NBCC,NBCC (India) Limited
483,2022-11-14,NBCC India secures total biz of Rs 332 cr in October Vs Rs 162 cr in September,NBCC,NBCC (India) Limited
485,2022-11-14,"BPL reports Q2 earnings.

➡️Net profit down 41.4% at Rs 1.7 cr Vs Rs 2.9 cr (YoY)

➡️Revenue down 50.6% at Rs 11.9 cr Vs Rs 24 cr (YoY)",BPL,BPL Limited
496,2022-11-15,"Our export revenue benefited from the restoration of a new distributor in Saudi. Standing at Rs 2,800 crores worth of inventory currently, Ashish Jain of KRBL to CNBC-TV18",KRBL,KRBL Limited
505,2022-11-15,"ONGC Q2 PAT down 30% at ₹ 12,826 cr; firm declares interim dividend of ₹ 6.75/shr",ONGC,Oil & Natural Gas Corporation Limited
509,2022-11-15,"BEL signs an MoU with Defence PSU Hindustan Shipyard Limited (HSL)

Cos to jointly develop, upgrade products/systems for domestic & Export markets",BEL,Bharat Electronics Limited
517,2022-11-16,"KEC International bags new orders worth ₹1,294 cr across various businesses",KEC,KEC International Limited
521,2022-11-16,UPL says promoter has acquired additional 0.19% stake from Nov 11-14,UPL,UPL Limited
535,2022-11-16,"PTC Fin says board has approved FY23 earnings, co is awaiting independent auditor report & is expected shortly",PTC,PTC India Limited
549,2022-11-17,HDFC Bank ADR down 4.61% in after-hours trade,HDFC,Housing Development Finance Corporation Limited
557,2022-11-17,"NMDC (@nmdclimited) cuts Lump Ore & Fines prices by ₹300/tonne each. Lump ore price is now at ₹3,800 & fines at ₹2,610/tonne",NMDC,NMDC Limited
565,2022-11-17,BEL signs MoU with AWEI to address needs of domestic and export markets,BEL,Bharat Electronics Limited
575,2022-11-18,SPARC gets US FDA nod for SEZABY for the treatment of Neonatal Seizures,SPARC,Sun Pharma Advanced Research Company Limited
579,2022-11-18,BEL signs MoU with IITM Pravartak Technologies Foundation for Distributed Acoustic Sensing,BEL,Bharat Electronics Limited
589,2022-11-18,"HDFC Bank (@HDFC_Bank) signs #MoU with Government of Karnataka

▶️To provide #banking and #financial services to #startups registered with Karnataka Startup Cell",HDFC,Housing Development Finance Corporation Limited
613,2022-11-21,"PVR Large Trade | 0.70 lakh shares (0.1% equity) worth ₹12.28 cr change hands at an average of ₹1,744/sh

#LargeTrade #BlockDeal",PVR,PVR Limited
616,2022-11-21,"Allied Digital bags contract of ₹207.2 cr in JV with KEC from Punjab Municipal Corp, smart city project in Punjab for 3 cities",KEC,KEC International Limited
624,2022-11-21,Adani Group's ₹493-crore open offer for NDTV to start tomorrow,NDTV,New Delhi Television Limited
648,2022-11-22,DCW to double its CPVC capacity by adding another 10KT capacity,DCW,DCW Limited
657,2022-11-23,"ACC promoter #Ambuja Cements releases entire pledge of its 50% equity on November 19, total holding now pledged at 2.16% vs 52.21% earlier",ACC,ACC Limited
660,2022-11-23,TCS extends partnership with Standard Chartered Singapore Marathon,TCS,Tata Consultancy Services Limited
671,2022-11-23,"Quiklyz, vehicle leasing & subscription biz signs MoUs to lease over 1,000 electric 3-wheelers, M&M Fin says",M&M,Mahindra & Mahindra Limited
694,2022-11-24,"ICICI Bank to acquire 10% in a JV of IOC & Chennai Petro for ₹50,000. ICICI Prudential to acquire 9% in a JV of IOC & Chennai Petro for ₹45,000

CNBC-TV18 Alert: IOC & Chennai Petro form JV for 9 mmtpa refinery at Nagapattinam, TN",IOC,Indian Oil Corporation Limited
700,2022-11-24,"PVR opens 12 screen superlex in Thiruvananthapuram, Kerala",PVR,PVR Limited
702,2022-11-24,PNB (@pnbindia) gets #government approval to #divest UTI AMC stake,PNB,Punjab National Bank
709,2022-11-25,"Engineers India bags order from Mangalore Refinery & Petrochemicals for preparation of BDEP, DFR & pre-project activities for bio-ATF plant at MRPL",MRPL,Mangalore Refinery and Petrochemicals Limited
714,2022-11-25,"Yet to hear from @RBI on arms’ treatment post HDFC -HDFC Bank merger. Sought RBI leeway on reserve requirement post-merger

#HDFC Bank to have enough liquidity even sans leeway

Deepak Parekh @HomeLoansByHDFC EGM",HDFC,Housing Development Finance Corporation Limited
716,2022-11-25,"#ITDC at upper circuit on the Ashok Hotel value

Alert: Indian Hotels holds nearly 8% stake in ITDC",ITDC,India Tourism Development Corporation Limited
725,2022-11-25,IRDAI approves merger of Exide Life With HDFC Life,HDFC,Housing Development Finance Corporation Limited
741,2022-11-28,ITC enters into a management contract for hotel owned by Jolle Hospitality,ITC,ITC Limited
762,2022-11-28,#SEBI approves Sundararaman Ramamurthy as MD & CEO of BSE,BSE,BSE Limited
763,2022-11-28,Adani closes in on NDTV takeover as founder entity transfers shares,NDTV,New Delhi Television Limited
767,2022-11-29,TCS & ICICI Bank launch iLens a digital lending solution,TCS,Tata Consultancy Services Limited
785,2022-11-29,"Received bids from #Adani Group & #DLF. Adani Group’s bid was for Rs 5,069 crore, DLF was Rs 2,025 crore. Will now go forward with formal process of approval from competent authorities",DLF,DLF Limited
787,2022-11-29,IDFC says it got SEBI nod for change in control of IDFC Mutual Fund,IDFC,IDFC Limited
788,2022-11-29,SEBI gives its approval for a consortium led by Bandhan Financial Holdings to take over IDFC Ltd's mutual fund operations,IDFC,IDFC Limited
795,2022-11-30,NDTV founders Prannoy Roy and Radhika Roy resign from RRPRH board,NDTV,New Delhi Television Limited
796,2022-11-30,PNB Housing board approves for filing draft of #RightsIssue with #SEBI,PNB,Punjab National Bank
797,2022-11-30,"TCS (@TCS ) gets into a six-year contract with Rail Delivery Group to design, develop, implement & operate UK’s RDM",TCS,Tata Consultancy Services Limited
800,2022-11-30,TCS gets Rail Delivery Group’s project to help create the UK Government’s #Rail data marketplace,TCS,Tata Consultancy Services Limited
805,2022-11-30,"MOIL cuts prices of fines, chemicals by 5% from tomorrow",MOIL,MOIL Limited
815,2022-12-01,Coforge & Tokio Marine HCC expand partnership to drive IT transformation,HCC,Hindustan Construction Company Limited
826,2022-12-01,"SJVN Green Energy signs MoU with Grid Corporation of Odisha for developing 1000 MW Hydro Electric Projects & 2000 MW Solar Power Project

These projects will attract an investment of Rs 20,000 cr",SJVN,SJVN Limited
831,2022-12-02,"PVR opens 3-screen #multiplex in Yamuna Nagar, Haryana 

▶️ Also opens Director’s Luxury Cut #Cinema Auditoriums in Bengaluru",PVR,PVR Limited
832,2022-12-02,MOIL surges nearly 4% in trade after company's November manganese ore production rise by 60% & sales by 82% on a MoM basis,MOIL,MOIL Limited
835,2022-12-02,"HDFC Bank board approves issuance of #NCDs up to Rs 15,000 crore on a private placement basis",HDFC,Housing Development Finance Corporation Limited
843,2022-12-03,"PNB Housing Fin: Paid Rs 3 Lakh fine to BSE and NSE for  not having the requisite number of Independent Directors on the Board as on September 30, 2022",BSE,BSE Limited
